SYMBOL, SERIES, DATE1,PREVCL, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
20MICRONS, EQ, 30-Jun-2020,34.45,34.7,35.1,32,33.25,32.4,33.78,232866,78.66,1623,137057,58.86
21STCENMGM, EQ, 30-Jun-2020,11.1,11.1,11.1,10.9,10.9,10.9,10.91,4693,0.51,29,4693,100
3IINFOTECH, EQ, 30-Jun-2020,2.6,2.7,2.7,2.65,2.7,2.7,2.7,9677859,261.28,1848,7042737,72.77
3MINDIA, EQ, 30-Jun-2020,19113.85,19114,19235,18727.7,18788,18795.25,19068.74,4096,781.06,2414,2019,49.29
5PAISA, EQ, 30-Jun-2020,216.2,221.9,230.2,216.3,224,222.9,224.61,30723,69.01,1099,19677,64.05
63MOONS, BE, 30-Jun-2020,76.75,77.7,78.6,75.25,76.4,75.65,77.21,18453,14.25,215, -, -
763GS2059, GS, 30-Jun-2020,106.43,107,107,106.43,106.43,106.43,106.66,1000,1.07,5,1000,100
A2ZINFRA, EQ, 30-Jun-2020,5.7,5.7,5.95,5.45,5.55,5.5,5.72,821208,46.96,887,550814,67.07
AAKASH, SM, 30-Jun-2020,18.95,19.85,19.85,19.85,19.85,19.85,19.85,3000,0.6,1,3000,100
AARON, SM, 30-Jun-2020,43.2,43,43,43,43,43,43,3300,1.42,1,3300,100
AARTIDRUGS, EQ, 30-Jun-2020,1269.6,1285,1303.4,1260.05,1271,1270.55,1286.68,89351,1149.67,5367,42344,47.39
AARTIIND, EQ, 30-Jun-2020,924.55,933,937,915,936,931.4,927.23,256437,2377.77,10076,131194,51.16
AARVEEDEN, BE, 30-Jun-2020,12.25,12.5,12.5,11.65,11.65,11.8,11.72,9953,1.17,49, -, -
AARVI, EQ, 30-Jun-2020,28.5,29.9,29.9,29.9,29.9,29.9,29.9,1260,0.38,6,1260,100
AAVAS, EQ, 30-Jun-2020,1370.25,1369.9,1378.45,1320,1330,1339.25,1344.46,31415,422.36,3920,19540,62.2
ABAN, EQ, 30-Jun-2020,30.3,31.8,33.3,30.5,33.3,33.3,32.64,402553,131.38,1583,256349,63.68
ABB, EQ, 30-Jun-2020,922.35,927,948.75,903.1,946,941.15,930.85,259932,2419.57,10434,83019,31.94
ABBOTINDIA, EQ, 30-Jun-2020,15727,15898,15898,15705,15750,15736.5,15765.99,7398,1166.37,3010,4151,56.11
ABCAPITAL, EQ, 30-Jun-2020,65.75,66.4,66.45,63,63.4,63.3,64.49,2345379,1512.43,10250,855389,36.47
ABFRL, EQ, 30-Jun-2020,127.4,128.4,130.2,124.45,125,125.3,127.12,1020365,1297.07,22331,476058,46.66
ABSLBANETF, EQ, 30-Jun-2020,215,224.93,224.97,210.3,224,224,221.48,80,0.18,12,65,81.25
ABSLNN50ET, EQ, 30-Jun-2020,257.1,255.29,267.64,255.29,256.02,256.02,258.93,81,0.21,12,40,49.38
ACC, EQ, 30-Jun-2020,1289.2,1293,1335.6,1288.25,1335,1332.25,1322.57,2752805,36407.73,77204,338880,12.31
